"","X0.64","X18.5","X0.01"
"1",0.64,18.5,0.01
"2",0.64,19,0.035
"3",0.64,19.5,0.2
"4",0.64,20,0.47
"5",0.64,20.5,0.835
"6",0.64,21,0.96
"7",0.65,18.5,0.015
"8",0.65,19,0.02
"9",0.65,19.5,0.09
"10",0.65,20,0.29
"11",0.65,20.5,0.72
"12",0.65,21,0.905
"13",0.66,18.5,0
"14",0.66,19,0.005
"15",0.66,19.5,0.03
"16",0.66,20,0.19
"17",0.66,20.5,0.49
"18",0.66,21,0.835
"19",0.67,18.5,0
"20",0.67,19,0
"21",0.67,19.5,0.01
"22",0.67,20,0.045
"23",0.67,20.5,0.325
"24",0.67,21,0.68
"25",0.68,18.5,0
"26",0.68,19,0
"27",0.68,19.5,0.01
"28",0.68,20,0.065
"29",0.68,20.5,0.185
"30",0.68,21,0.5
"31",0.69,18.5,0
"32",0.69,19,0
"33",0.69,19.5,0
"34",0.69,20,0.025
"35",0.69,20.5,0.065
"36",0.69,21,0.345
