"","X0.64","X18","X0"
"1",0.64,18,0
"2",0.64,18.25,0
"3",0.64,18.5,0.008
"4",0.64,18.75,0
"5",0.64,19,0.048
"6",0.64,19.25,0.064
"7",0.64,19.5,0.188
"8",0.64,19.75,0.284
"9",0.64,20,0.532
"10",0.64,20.25,0.676
"11",0.64,20.5,0.824
"12",0.64,20.75,0.912
"13",0.64,21,0.984
"14",0.64,21.25,0.976
"15",0.64,21.5,0.996
"16",0.645,18,0
"17",0.645,18.25,0
"18",0.645,18.5,0.004
"19",0.645,18.75,0.004
"20",0.645,19,0.008
"21",0.645,19.25,0.068
"22",0.645,19.5,0.116
"23",0.645,19.75,0.276
"24",0.645,20,0.428
"25",0.645,20.25,0.54
"26",0.645,20.5,0.796
"27",0.645,20.75,0.864
"28",0.645,21,0.956
"29",0.645,21.25,0.98
"30",0.645,21.5,0.996
"31",0.65,18,0
"32",0.65,18.25,0.004
"33",0.65,18.5,0.008
"34",0.65,18.75,0
"35",0.65,19,0.016
"36",0.65,19.25,0.036
"37",0.65,19.5,0.08
"38",0.65,19.75,0.188
"39",0.65,20,0.336
"40",0.65,20.25,0.516
"41",0.65,20.5,0.692
"42",0.65,20.75,0.792
"43",0.65,21,0.92
"44",0.65,21.25,0.964
"45",0.65,21.5,0.988
"46",0.655,18,0
"47",0.655,18.25,0
"48",0.655,18.5,0.004
"49",0.655,18.75,0
"50",0.655,19,0.012
"51",0.655,19.25,0.036
"52",0.655,19.5,0.052
"53",0.655,19.75,0.1
"54",0.655,20,0.244
"55",0.655,20.25,0.344
"56",0.655,20.5,0.6
"57",0.655,20.75,0.76
"58",0.655,21,0.884
"59",0.655,21.25,0.952
"60",0.655,21.5,0.988
"61",0.66,18,0
"62",0.66,18.25,0
"63",0.66,18.5,0
"64",0.66,18.75,0.004
"65",0.66,19,0.012
"66",0.66,19.25,0.008
"67",0.66,19.5,0.028
"68",0.66,19.75,0.1
"69",0.66,20,0.164
"70",0.66,20.25,0.348
"71",0.66,20.5,0.452
"72",0.66,20.75,0.688
"73",0.66,21,0.856
"74",0.66,21.25,0.94
"75",0.66,21.5,0.964
"76",0.665,18,0
"77",0.665,18.25,0
"78",0.665,18.5,0.004
"79",0.665,18.75,0.008
"80",0.665,19,0.004
"81",0.665,19.25,0.004
"82",0.665,19.5,0.016
"83",0.665,19.75,0.024
"84",0.665,20,0.136
"85",0.665,20.25,0.24
"86",0.665,20.5,0.356
"87",0.665,20.75,0.608
"88",0.665,21,0.76
"89",0.665,21.25,0.88
"90",0.665,21.5,0.944
"91",0.67,18,0
"92",0.67,18.25,0
"93",0.67,18.5,0
"94",0.67,18.75,0
"95",0.67,19,0.004
"96",0.67,19.25,0.012
"97",0.67,19.5,0.02
"98",0.67,19.75,0.016
"99",0.67,20,0.084
"100",0.67,20.25,0.152
"101",0.67,20.5,0.368
"102",0.67,20.75,0.528
"103",0.67,21,0.668
"104",0.67,21.25,0.792
"105",0.67,21.5,0.912
"106",0.675,18,0
"107",0.675,18.25,0
"108",0.675,18.5,0
"109",0.675,18.75,0
"110",0.675,19,0.004
"111",0.675,19.25,0.008
"112",0.675,19.5,0.016
"113",0.675,19.75,0.016
"114",0.675,20,0.068
"115",0.675,20.25,0.156
"116",0.675,20.5,0.312
"117",0.675,20.75,0.372
"118",0.675,21,0.56
"119",0.675,21.25,0.78
"120",0.675,21.5,0.9
"121",0.68,18,0
"122",0.68,18.25,0
"123",0.68,18.5,0
"124",0.68,18.75,0
"125",0.68,19,0.004
"126",0.68,19.25,0.008
"127",0.68,19.5,0.012
"128",0.68,19.75,0.02
"129",0.68,20,0.044
"130",0.68,20.25,0.108
"131",0.68,20.5,0.18
"132",0.68,20.75,0.396
"133",0.68,21,0.5
"134",0.68,21.25,0.664
"135",0.68,21.5,0.796
"136",0.685,18,0
"137",0.685,18.25,0
"138",0.685,18.5,0
"139",0.685,18.75,0
"140",0.685,19,0
"141",0.685,19.25,0.004
"142",0.685,19.5,0
"143",0.685,19.75,0.008
"144",0.685,20,0.028
"145",0.685,20.25,0.04
"146",0.685,20.5,0.156
"147",0.685,20.75,0.312
"148",0.685,21,0.476
"149",0.685,21.25,0.616
"150",0.685,21.5,0.784
"151",0.69,18,0
"152",0.69,18.25,0
"153",0.69,18.5,0
"154",0.69,18.75,0
"155",0.69,19,0.004
"156",0.69,19.25,0
"157",0.69,19.5,0
"158",0.69,19.75,0.012
"159",0.69,20,0.016
"160",0.69,20.25,0.036
"161",0.69,20.5,0.084
"162",0.69,20.75,0.14
"163",0.69,21,0.328
"164",0.69,21.25,0.508
"165",0.69,21.5,0.744
